data,estado,cidade,casos_totais,casos_novos,obitos_totais,obitos_novos,ano,mes,data_carga
2023-03-18,CE,Reriutaba/CE,6006,4,34,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,MG,Resende Costa/MG,1741,0,23,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,RS,Santa Margarida do Sul/RS,287,1,7,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,MG,São Brás do Suaçuí/MG,924,0,8,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,RR,São João da Baliza/RR,2221,1,15,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,SP,Tupã/SP,8233,2,339,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,MA,Turiaçu/MA,323,0,6,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,SP,União Paulista/SP,319,0,7,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,PA,Abel Figueiredo/PA,1452,0,12,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,PA,Anajás/PA,1391,0,24,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,GO,Aparecida do Rio Doce/GO,906,0,5,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,PB,Baía da Traição/PB,1801,0,13,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,PE,Bezerros/PE,9948,1,132,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,PR,Boa Ventura de São Roque/PR,1143,0,12,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,MG,Bom Jesus da Penha/MG,1381,0,21,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,PI,Bom Princípio do Piauí/PI,302,0,14,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,MA,Cachoeira Grande/MA,491,0,8,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,MG,Careaçu/MG,1309,0,18,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,MG,Carmo de Minas/MG,1824,0,31,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,PA,Castanhal/PA,18409,48,576,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,PR,Castro/PR,20125,9,277,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,MG,Coimbra/MG,1040,0,13,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,MA,Colinas/MA,3898,1,57,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,MS,Corguinho/MS,533,0,13,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,PE,Gameleira/PE,1392,4,44,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,RS,Garruchos/RS,173,0,7,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,CE,General Sampaio/CE,820,0,21,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,MG,Guaraciama/MG,500,0,7,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,MG,Ibiá/MG,5920,0,73,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,SE,Ilha das Flores/SE,510,0,22,0,2023,3,2025-10-15 20:57:10.032331
